contact_id,contact_name,customer_name,vendor_name,contact_number,company_name,website,language_code,language_code_formatted,contact_type,contact_type_formatted,status,customer_sub_type,source,is_linked_with_zohocrm,payment_terms,payment_terms_id,payment_terms_label,currency_id,twitter,facebook,currency_code,outstanding_receivable_amount,outstanding_receivable_amount_bcy,outstanding_payable_amount,outstanding_payable_amount_bcy,unused_credits_receivable_amount,unused_credits_receivable_amount_bcy,unused_credits_payable_amount,unused_credits_payable_amount_bcy,first_name,last_name,email,phone,mobile,portal_status,portal_status_formatted,created_time,created_time_formatted,last_modified_time,last_modified_time_formatted,custom_fields,contactperson_custom_fields,tags,ach_supported,has_attachment
6060812000000211785,Hector Torres,"Murphy, Solis and Arnold",Herring Group,3074544145,,,en,English,customer,Customer,active,individual,csv,False,0,6.060812000003371e+18,Due on Receipt,6060812000000091107,,,KES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Juan,Rodgers,,9677166760,,disabled,Disabled,2025-03-26 08:09:45.000000 UTC,26/03/2025,2025-10-17 08:19:53.000000 UTC,17/10/2025,[],[],[],False,False
6060812000001840065,Raymond Smith,Young Inc,Jimenez Ltd,,,,en,English,vendor,Vendors,active,business,user,False,0,,Due on Receipt,6060812000000091107,,,KES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Casey,Rubio,,001-749-982-2554x913,,disabled,Disabled,2025-05-04 06:38:45.000000 UTC,04/05/2025,2025-05-14 08:25:25.000000 UTC,14/05/2025,[],[],[],False,False
6060812000001996815,Tracy Owens,"Hogan, Miller and Black",Hickman and Sons,+1-371-826-3563x8433,,,en,English,customer,Customer,active,individual,user,False,0,6.060812000003371e+18,Due on Receipt,6060812000000091107,,,KES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kristen,Flores,,829-303-5461x3052,(832)940-5549x256,disabled,Disabled,2025-05-07 09:19:46.000000 UTC,07/05/2025,2025-10-17 10:29:25.000000 UTC,17/10/2025,[],[],[],False,False
6060812000002924033,Anna Harris,Schaefer-Jones,Duke LLC,001-552-407-8690,,,en,English,customer,Customer,active,individual,user,False,0,6.060812000003371e+18,Due on Receipt,6060812000000091107,,,KES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Daniel,Chase,,(581)845-3145,+1-982-819-2535x911,disabled,Disabled,2025-06-14 09:15:08.000000 UTC,14/06/2025,2025-10-17 12:53:14.000000 UTC,17/10/2025,[],[],[],False,False
6060812000004030640,Christopher Fernandez,"Blackwell, Smith and Figueroa",Clark LLC,711-373-0859x273,,,en,English,customer,Customer,active,individual,user,False,0,6.060812000003371e+18,Due on Receipt,6060812000000091107,,,KES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Stacy,Costa,,352-622-6330x921,001-670-923-6797,disabled,Disabled,2025-08-02 10:15:31.000000 UTC,02/08/2025,2025-10-19 13:34:47.000000 UTC,19/10/2025,[],[],[],False,False
6060812000006702515,Sherri Parrish,"Pollard, Cruz and Sweeney",Clark Inc,(873)665-9366x64936,,,en,English,customer,Customer,active,individual,user,False,0,6.060812000003371e+18,Due on Receipt,6060812000000091107,,,KES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Emily,,,(483)296-6017x282,001-363-875-0989x3700,disabled,Disabled,2025-11-30 07:13:38.000000 UTC,30/11/2025,2026-04-26 06:47:14.000000 UTC,26/04/2026,[],[],[],False,False
6060812000008913864,Chelsey Evans,Gallagher-Lopez,Stevens-Hensley,803.232.0930,,,en,English,customer,Customer,active,individual,user,False,0,6.060812000003371e+18,Due on Receipt,6060812000000091107,,,KES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brett,Bailey,,001-821-687-7563x40942,,disabled,Disabled,2026-01-14 13:30:12.000000 UTC,14/01/2026,2026-01-14 13:30:12.000000 UTC,14/01/2026,[],[],[],False,False
6060812000000801370,Martin Quinn,Miller LLC,"Spence, Miller and Poole",+1-453-986-6205x290,,,en,English,customer,Customer,active,individual,user,True,0,,Due On Receipt,6060812000000091107,,,KES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Beth,Pena,,334.991.5546,,disabled,Disabled,2025-04-08 06:45:03.000000 UTC,08/04/2025,2025-11-22 05:00:08.000000 UTC,22/11/2025,[],[],[],False,False
6060812000010091085,Shannon Dawson,Coleman Ltd,"Taylor, Pena and Jones",962-684-9137,,,en,English,customer,Customer,active,individual,user,False,0,6.060812000003371e+18,Due on Receipt,6060812000000091107,,,KES,2900.0,2900.0,0.0,0.0,0.0,0.0,0.0,0.0,Daniel,,,637.803.7171x857,(441)262-8612x3524,disabled,Disabled,2026-02-14 07:07:50.000000 UTC,14/02/2026,2026-02-14 12:13:54.000000 UTC,14/02/2026,[],[],[],False,False
6060812000015320106,Ashley Martinez,Martinez PLC,Ball-Gardner,7444980692,,,en,English,customer,Customer,active,individual,user,False,0,6.060812000003371e+18,Due on Receipt,6060812000000091107,,,KES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benjamin,,,001-474-532-2740,625.971.8996,disabled,Disabled,2026-06-12 13:19:43.000000 UTC,12/06/2026,2026-06-12 13:19:43.000000 UTC,12/06/2026,[],[],[],False,False
